City,IATA,Rank,Name,Rating,Reviews,Cuisine,Price
Amsterdam,AMS,1,Martine of Martine's Table,5,136,French,€€ - €€€
Amsterdam,AMS,2,De Silveren Spiegel,4.5,812,Dutch,€€€€
Amsterdam,AMS,3,La Rive,4.5,567,Mediterranean,€€€€
Amsterdam,AMS,4,Vinkeles,5,564,French,€€€€
Amsterdam,AMS,5,Librije's Zusje Amsterdam,4.5,316,Dutch,€€€€
Amsterdam,AMS,6,Ciel Bleu Restaurant,4.5,745,Contemporary,€€€€
Amsterdam,AMS,7,Zaza's,4.5,1455,French,€€ - €€€
Amsterdam,AMS,8,Blue Pepper Restaurant And Candlelight Cruises,4.5,675,Asian,€€€€
Amsterdam,AMS,9,Teppanyaki Restaurant Sazanka,4.5,923,Japanese,€€€€
Amsterdam,AMS,10,Rob Wigboldus Vishandel,4.5,450,Dutch,€
Amsterdam,AMS,11,The Happy Bull,4.5,295,American,€€ - €€€
Amsterdam,AMS,12,Gartine,4.5,967,French,€€ - €€€
Amsterdam,AMS,13,Restaurant Adam,4.5,368,French,€€€€
Amsterdam,AMS,14,Biercafe Gollem,4.5,586,Bar,€€ - €€€
Amsterdam,AMS,15,Restaurant Daalder,4.5,1246,French,€€€€
Amsterdam,AMS,16,Greenwoods Keizersgracht,4.5,1391,Dutch,€€ - €€€
Amsterdam,AMS,17,Omelegg - City Centre,4.5,1633,Dutch,€
Amsterdam,AMS,18,Brasserie Ambassade,4.5,958,French,€€€€
Amsterdam,AMS,19,Sherpa Restaurant,4.5,426,Indian,€€ - €€€
Amsterdam,AMS,20,La Maschera Lillotatini,4.5,421,Italian,€€ - €€€
Amsterdam,AMS,21,Senses Restaurant,4.5,1380,International,€€€€
Amsterdam,AMS,22,MOS Amsterdam,4.5,239,French,€€€€
Amsterdam,AMS,23,Restaurant Vlaming,4.5,996,Dutch,€€ - €€€
Amsterdam,AMS,24,Arendsnest Dutch Beer Bar,4.5,716,Dutch,€€€
Amsterdam,AMS,25,Jacketz,4.5,1958,Dutch,€€ - €€€
Amsterdam,AMS,26,Greenwoods Singel,4.5,2360,Cafe,€€ - €€€
Amsterdam,AMS,27,Bord'Eau,4.5,666,French,€€€€
Amsterdam,AMS,28,Omelegg - De Pijp,4.5,1642,Dutch,€
Amsterdam,AMS,29,Harmsen,4.5,344,Dutch,€€ - €€€
Amsterdam,AMS,30,Brasserie SenT,4.5,646,Barbecue,€€ - €€€
Amsterdam,AMS,31,MAX Amsterdam,4.5,1869,European,€€ - €€€
Amsterdam,AMS,32,Restaurant Argentino Luna,4.5,821,Steakhouse,€€ - €€€
Amsterdam,AMS,33,Lombardo's,4.5,2052,Barbecue,€€ - €€€
Amsterdam,AMS,34,Midtown Grill,4.5,1181,Barbecue,€€€€
Amsterdam,AMS,35,Eatmosfera Ristorante,4.5,973,Italian,€€ - €€€
Amsterdam,AMS,36,Broodje Bert,4.5,685,Dutch,€
Amsterdam,AMS,37,Jacketz Nieuwendijk,4.5,264,Dutch,€
Amsterdam,AMS,38,Toastable Nieuwendijk,4.5,308,Dutch,€
Amsterdam,AMS,39,Tales and Spirits,4.5,697,Bar,€€ - €€€
Amsterdam,AMS,40,Krua Thai Classic Restaurant,4.5,465,Asian,€€ - €€€
Amsterdam,AMS,41,Bussia,4.5,959,Italian,€€€€
Amsterdam,AMS,42,Ashoka Restaurant,4.5,718,Indian,€€ - €€€
Amsterdam,AMS,43,The Seafood Bar,4.5,4709,Seafood,€€ - €€€
Amsterdam,AMS,44,Mossel en Gin,4.5,408,Dutch,€€ - €€€
Amsterdam,AMS,45,Frens Haringhandel,4.5,431,Dutch,€
Amsterdam,AMS,46,Ivy & Bros,4.5,757,Cafe,€
